Event,Type
Basketball Men's Basketball,Team
Judo Men's Extra-Lightweight,Single
Football Men's Football,Team
Tug-Of-War Men's Tug-Of-War,Team
Speed Skating Women's 500 metres,Single
"Speed Skating Women's 1,000 metres",Single
Cross Country Skiing Men's 10 kilometres,Single
Cross Country Skiing Men's 50 kilometres,Single
Cross Country Skiing Men's 10/15 kilometres Pursuit,Single
Cross Country Skiing Men's 4 x 10 kilometres Relay,Team
Cross Country Skiing Men's 30 kilometres,Single
Athletics Women's 100 metres,Single
Athletics Women's 4 x 100 metres Relay,Team
Ice Hockey Men's Ice Hockey,Team
Swimming Men's 400 metres Freestyle,Single
Badminton Men's Singles,Single
Sailing Women's Windsurfer,Single
Biathlon Women's 7.5 kilometres Sprint,Single
Swimming Men's 200 metres Breaststroke,Single
Swimming Men's 400 metres Breaststroke,Single
Gymnastics Men's Individual All-Around,Single
Gymnastics Men's Team All-Around,Team
Gymnastics Men's Floor Exercise,Single
Gymnastics Men's Horse Vault,Single
Gymnastics Men's Parallel Bars,Single
Gymnastics Men's Horizontal Bar,Single
Gymnastics Men's Rings,Single
Gymnastics Men's Pommelled Horse,Single
Athletics Men's Shot Put,Single
"Art Competitions Mixed Sculpturing, Unknown Event",Single
Alpine Skiing Men's Downhill,Single
Alpine Skiing Men's Super G,Single
Alpine Skiing Men's Giant Slalom,Single
Alpine Skiing Men's Slalom,Single
Alpine Skiing Men's Combined,Single
Handball Women's Handball,Team
Weightlifting Women's Super-Heavyweight,Single
"Wrestling Men's Light-Heavyweight, Greco-Roman",Single
Speed Skating Men's 500 metres,Single
"Speed Skating Men's 1,500 metres",Single
"Gymnastics Men's Team All-Around, Free System",Team
Luge Women's Singles,Single
Water Polo Men's Water Polo,Team
Sailing Mixed Three Person Keelboat,Team
Hockey Women's Hockey,Team
Rowing Men's Lightweight Double Sculls,Team
Athletics Men's Pole Vault,Single
Athletics Men's High Jump,Single
Sailing Men's Two Person Dinghy,Team
"Athletics Men's 1,500 metres",Single
Bobsleigh Men's Four,Team
Swimming Men's 100 metres Butterfly,Single
Swimming Men's 200 metres Butterfly,Single
Swimming Men's 4 x 100 metres Medley Relay,Team
Football Women's Football,Team
"Fencing Men's Foil, Individual",Single
"Fencing Men's epee, Individual",Single
"Fencing Men's epee, Team",Team
"Speed Skating Men's 5,000 metres",Single
"Speed Skating Men's 10,000 metres",Single
Sailing Mixed 8 metres,Team
"Equestrianism Mixed Jumping, Individual",Single
Cross Country Skiing Men's 15 kilometres,Single
"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Single
"Shooting Men's Rapid-Fire Pistol, 25 metres",Single
Shooting Men's Trap,Single
Athletics Men's 4 x 100 metres Relay,Team
Athletics Men's Long Jump,Single
Boxing Men's Light-Welterweight,Single
Athletics Women's Javelin Throw,Single
"Wrestling Men's Heavyweight, Freestyle",Single
Taekwondo Men's Flyweight,Single
Boxing Men's Heavyweight,Single
"Athletics Men's 5,000 metres",Single
"Cycling Men's Road Race, Individual",Single
"Cycling Men's Road Race, Team",Team
Weightlifting Men's Lightweight,Single
Weightlifting Men's Middleweight,Single
Rowing Men's Coxless Pairs,Team
Judo Men's Half-Middleweight,Single
Taekwondo Women's Flyweight,Single
Boxing Men's Flyweight,Single
Basketball Women's Basketball,Team
Diving Men's Platform,Single
"Canoeing Men's Canadian Doubles, 500 metres",Team
"Canoeing Men's Canadian Doubles, 1,000 metres",Team
"Canoeing Men's Kayak Fours, 1,000 metres",Team
Handball Men's Handball,Team
Rowing Women's Coxless Pairs,Team
Boxing Men's Middleweight,Single
Judo Men's Lightweight,Single
Boxing Men's Featherweight,Single
Tennis Men's Doubles,Team
Shooting Mixed Skeet,Single
"Wrestling Men's Featherweight, Freestyle",Single
Sailing Mixed Two Person Heavyweight Dinghy,Team
Athletics Women's Shot Put,Single
Rowing Men's Coxed Eights,Team
Cycling Women's Sprint,Single
Cycling Women's 500 metres Time Trial,Single
Athletics Men's 110 metres Hurdles,Single
Shooting Mixed Trap,Single
Athletics Women's Marathon,Single
Athletics Men's 100 metres,Single
"Fencing Men's Foil, Team",Team
"Fencing Men's Sabre, Team",Team
Swimming Men's 100 metres Freestyle,Single
Swimming Men's 4 x 200 metres Freestyle Relay,Team
Boxing Men's Lightweight,Single
Modern Pentathlon Men's Individual,Single
Boxing Men's Welterweight,Single
Rowing Men's Quadruple Sculls,Team
Rowing Men's Double Sculls,Team
Rowing Men's Coxed Pairs,Team
Athletics Men's 400 metres Hurdles,Single
Athletics Men's 400 metres,Single
Athletics Men's Hammer Throw,Single
Weightlifting Men's Featherweight,Single
Athletics Men's 800 metres,Single
Hockey Men's Hockey,Team
Alpine Skiing Women's Slalom,Single
Rowing Women's Single Sculls,Single
Swimming Men's 50 metres Freestyle,Single
Weightlifting Women's Featherweight,Single
Water Polo Women's Water Polo,Team
Figure Skating Men's Singles,Single
Weightlifting Men's Heavyweight,Single
"Equestrianism Mixed Three-Day Event, Individual",Single
"Equestrianism Mixed Three-Day Event, Team",Team
Figure Skating Mixed Team,Team
Sailing Women's Three Person Keelboat,Team
"Cycling Women's Road Race, Individual",Single
Golf Women's Individual,Single
Softball Women's Softball,Team
Archery Women's Individual,Single
"Wrestling Men's Heavyweight, Greco-Roman",Team
Volleyball Men's Volleyball,Team
Taekwondo Women's Heavyweight,Single
Synchronized Swimming Women's Duet,Team
Synchronized Swimming Women's Team,Team
Taekwondo Women's Featherweight,Single
Athletics Men's Marathon,Single
Athletics Men's 4 x 400 metres Relay,Team
"Athletics Men's 10,000 metres",Single
"Athletics Women's 3,000 metres",Single
Diving Women's Platform,Single
"Shooting Men's Air Rifle, 10 metres",Single
Athletics Men's 200 metres,Single
Weightlifting Men's Flyweight,Single
Swimming Men's 100 metres Backstroke,Single
Weightlifting Men's Light-Heavyweight,Single
"Wrestling Men's Lightweight, Greco-Roman",Team
"Fencing Men's Sabre, Individual",Single
"Wrestling Men's Super-Heavyweight, Greco-Roman",Team
"Shooting Men's Free Pistol, 50 metres",Single
"Shooting Men's Air Pistol, 10 metres",Single
Rowing Men's Coxless Fours,Team
Boxing Men's Light-Flyweight,Single
Boxing Men's Super-Heavyweight,Single
"Wrestling Men's Flyweight, Greco-Roman",Team
"Shooting Women's Air Rifle, 10 metres",Single
Weightlifting Men's Middle-Heavyweight,Single
Athletics Men's Javelin Throw,Single
Volleyball Women's Volleyball,Team
